date,home,away,home_score,away_score,tournament,city,country,neutral,home_confederation,away_confederation,is_intercontinental,stage,competition,confederation
2000-01-04,Egypt,Togo,2.0,1.0,Friendly,Aswan,Egypt,0,CAF,CAF,False,Other,Friendlies,Other
2000-01-07,Tunisia,Togo,7.0,0.0,Friendly,Tunis,Tunisia,0,CAF,CAF,False,Other,Friendlies,Other
2000-01-08,Trinidad and Tobago,Canada,0.0,0.0,Friendly,Port of Spain,Trinidad and Tobago,0,CONCACAF,CONCACAF,False,Other,Friendlies,Other
2000-01-09,Burkina Faso,Gabon,1.0,1.0,Friendly,Ouagadougou,Burkina Faso,0,CAF,CAF,False,Other,Friendlies,Other
2000-01-09,Guatemala,Armenia,1.0,1.0,Friendly,Los Angeles,USA,1,CONCACAF,UEFA,True,Other,Friendlies,Other
2000-01-09,Côte d'Ivoire,Egypt,2.0,0.0,Friendly,Abidjan,Côte d'Ivoire,0,CAF,CAF,False,Other,Friendlies,Other
2000-01-09,Mexico,IR Iran,2.0,1.0,Friendly,Oakland,USA,1,CONCACAF,AFC,True,Other,Friendlies,Other
2000-01-11,Bermuda,Canada,0.0,2.0,Friendly,Hamilton,Bermuda,0,CONCACAF,CONCACAF,False,Other,Friendlies,Other
2000-01-11,Burkina Faso,Cameroon,2.0,2.0,Friendly,Ouagadougou,Burkina Faso,0,CAF,CAF,False,Other,Friendlies,Other
2000-01-13,Senegal,Cameroon,0.0,0.0,Friendly,Dakar,Senegal,0,CAF,CAF,False,Other,Friendlies,Other
2000-01-14,China PR,New Zealand,1.0,0.0,Friendly,Guangzhou,China PR,0,AFC,OFC,True,Other,Friendlies,Other
2000-01-16,Jamaica,New Zealand,2.0,1.0,Friendly,Guangzhou,China PR,1,CONCACAF,OFC,True,Other,Friendlies,Other
2000-01-16,USA,IR Iran,1.0,1.0,Friendly,Pasadena,USA,0,CONCACAF,AFC,True,Other,Friendlies,Other
2000-01-18,Ghana,Tunisia,2.0,0.0,Friendly,Accra,Ghana,0,CAF,CAF,False,Other,Friendlies,Other
2000-01-18,Morocco,Trinidad and Tobago,1.0,0.0,Friendly,El Jadida,Morocco,0,CAF,CONCACAF,True,Other,Friendlies,Other
2000-01-19,Panama,Guatemala,2.0,0.0,Friendly,Panama City,Panama,0,CONCACAF,CONCACAF,False,Other,Friendlies,Other
2000-01-19,Togo,Egypt,1.0,0.0,Friendly,Lomé,Togo,0,CAF,CAF,False,Other,Friendlies,Other
2000-01-20,Burkina Faso,Algeria,1.0,0.0,Friendly,Ouagadougou,Burkina Faso,0,CAF,CAF,False,Other,Friendlies,Other
2000-01-20,Malta,Qatar,2.0,0.0,Friendly,Attard,Malta,0,UEFA,AFC,True,Other,Friendlies,Other
2000-01-21,New Zealand,Korea Republic,0.0,1.0,Friendly,Auckland,New Zealand,0,OFC,AFC,True,Other,Friendlies,Other
2000-01-22,Ghana,Cameroon,1.0,1.0,African Cup of Nations,Accra,Ghana,0,CAF,CAF,False,Tournament,Continental_Cup,CAF
2000-01-23,China PR,Philippines,8.0,0.0,AFC Asian Cup qualification,Hanoi,Vietnam,1,AFC,AFC,False,Qualification,Continental_Cup,AFC
2000-01-23,Egypt,Zambia,2.0,0.0,African Cup of Nations,Kano,Nigeria,1,CAF,CAF,False,Tournament,Continental_Cup,CAF
2000-01-23,New Zealand,Korea Republic,0.0,0.0,Friendly,Palmerston North,New Zealand,0,OFC,AFC,True,Other,Friendlies,Other
2000-01-23,Nigeria,Tunisia,4.0,2.0,African Cup of Nations,Lagos,Nigeria,0,CAF,CAF,False,Tournament,Continental_Cup,CAF
2000-01-23,South Africa,Gabon,3.0,1.0,African Cup of Nations,Kumasi,Ghana,1,CAF,CAF,False,Tournament,Continental_Cup,CAF
2000-01-23,Vietnam,Guam,11.0,0.0,AFC Asian Cup qualification,Hanoi,Vietnam,0,AFC,AFC,False,Qualification,Continental_Cup,AFC
2000-01-24,Congo DR,Algeria,0.0,0.0,African Cup of Nations,Kumasi,Ghana,1,CAF,CAF,False,Tournament,Continental_Cup,CAF
2000-01-24,Côte d'Ivoire,Togo,1.0,1.0,African Cup of Nations,Accra,Ghana,1,CAF,CAF,False,Tournament,Continental_Cup,CAF
2000-01-24,Qatar,Bosnia and Herzegovina,2.0,0.0,Friendly,Doha,Qatar,0,AFC,UEFA,True,Other,Friendlies,Other
2000-01-25,Burkina Faso,Senegal,1.0,3.0,African Cup of Nations,Kano,Nigeria,1,CAF,CAF,False,Tournament,Continental_Cup,CAF
2000-01-25,Morocco,Congo,1.0,0.0,African Cup of Nations,Lagos,Nigeria,1,CAF,CAF,False,Tournament,Continental_Cup,CAF
2000-01-26,China PR,Guam,19.0,0.0,AFC Asian Cup qualification,Hanoi,Vietnam,1,AFC,AFC,False,Qualification,Continental_Cup,AFC
2000-01-26,Costa Rica,Trinidad and Tobago,2.0,1.0,Friendly,San José,Costa Rica,0,CONCACAF,CONCACAF,False,Other,Friendlies,Other
2000-01-26,Guatemala,Panama,1.0,1.0,Friendly,Guatemala City,Guatemala,0,CONCACAF,CONCACAF,False,Other,Friendlies,Other
2000-01-26,Spain,Poland,3.0,0.0,Friendly,Cartagena,Spain,0,UEFA,UEFA,False,Other,Friendlies,Other
2000-01-26,Uganda,Libya,3.0,2.0,Friendly,Kampala,Uganda,0,CAF,CAF,False,Other,Friendlies,Other
2000-01-26,Vietnam,Philippines,3.0,0.0,AFC Asian Cup qualification,Hanoi,Vietnam,0,AFC,AFC,False,Qualification,Continental_Cup,AFC
2000-01-27,Ghana,Togo,2.0,0.0,African Cup of Nations,Accra,Ghana,0,CAF,CAF,False,Tournament,Continental_Cup,CAF
2000-01-27,South Africa,Congo DR,1.0,0.0,African Cup of Nations,Kumasi,Ghana,1,CAF,CAF,False,Tournament,Continental_Cup,CAF
2000-01-28,Cameroon,Côte d'Ivoire,3.0,0.0,African Cup of Nations,Accra,Ghana,1,CAF,CAF,False,Tournament,Continental_Cup,CAF
2000-01-28,Egypt,Senegal,1.0,0.0,African Cup of Nations,Kano,Nigeria,1,CAF,CAF,False,Tournament,Continental_Cup,CAF
2000-01-28,Nigeria,Congo,0.0,0.0,African Cup of Nations,Lagos,Nigeria,0,CAF,CAF,False,Tournament,Continental_Cup,CAF
2000-01-28,United States Virgin Islands,Saint Lucia,0.0,9.0,Friendly,Saint Croix,United States Virgin Islands,0,CONCACAF,CONCACAF,False,Other,Friendlies,Other
2000-01-29,Algeria,Gabon,3.0,1.0,African Cup of Nations,Kumasi,Ghana,1,CAF,CAF,False,Tournament,Continental_Cup,CAF
2000-01-29,Chile,USA,1.0,2.0,Friendly,Coquimbo,Chile,0,CONMEBOL,CONCACAF,True,Other,Friendlies,Other
2000-01-29,Philippines,Guam,2.0,0.0,AFC Asian Cup qualification,Hanoi,Vietnam,1,AFC,AFC,False,Qualification,Continental_Cup,AFC
2000-01-29,Tunisia,Morocco,0.0,0.0,African Cup of Nations,Lagos,Nigeria,1,CAF,CAF,False,Tournament,Continental_Cup,CAF
2000-01-29,Vietnam,China PR,0.0,2.0,AFC Asian Cup qualification,Hanoi,Vietnam,0,AFC,AFC,False,Qualification,Continental_Cup,AFC
2000-01-29,Zambia,Burkina Faso,1.0,1.0,African Cup of Nations,Kano,Nigeria,1,CAF,CAF,False,Tournament,Continental_Cup,CAF
2000-01-30,United States Virgin Islands,Saint Lucia,0.0,2.0,Friendly,Saint Croix,United States Virgin Islands,0,CONCACAF,CONCACAF,False,Other,Friendlies,Other
